Time,Type,DutNo,PinNo,Result,ErrorCode,Final X,Final Y,Graph Final X,Graph Final Y, Xsd, Ysd, Xma, Yma, Xsds, Ysds, ProbeLotNo
2026-01-12 17:40:16.3059,975,21,1,0,0.99,0.28,-0.99,-0.28,1.05551998718384,0.783161319859909,-0.397624999471009,0.184852999914438,0.727853099796773,0.6977043123993,HIES 250600529 
2026-01-12 17:40:24.3988,975,22,1,0,-0.39,-0.75,0.39,0.75,1.05525494607308,0.783206974842662,-0.367374999634922,0.217901000101119,0.728424333664627,0.684468739053803,HIES 250600529 
2026-01-12 17:40:32.3824,975,23,1,0,0.30,0.63,-0.30,-0.63,1.05443183046658,0.78290590825944,-0.367374999634922,0.182098999898881,0.728424333664627,0.680857928856091,HIES 250600529 
2026-01-12 17:40:40.5356,975,24,1,0,0.44,-0.27,-0.44,0.27,1.05358577450715,0.782387540910611,-0.376999999582768,0.187606999929994,0.726104155260338,0.680423343978969,HIES 250600529 
2026-01-12 17:40:48.3826,975,25,1,0,0.37,-1.51,-0.37,1.51,1.05275056640823,0.78427550738487,-0.386624999530614,0.193114999961108,0.722733533167136,0.689909985144722,HIES 250600529 
2026-01-12 17:40:57.0664,975,26,1,0,-0.52,-0.06,0.52,0.06,1.05268551815526,0.783661453083797,-0.386624999530614,0.193114999961108,0.722733533167136,0.689909985144722,HIES 250600529 
2026-01-12 17:41:05.6459,975,27,1,0,1.54,-0.20,-1.54,0.20,1.05268301714754,0.783101744134107,-0.387999999523163,0.202754000015557,0.724853257084493,0.686563973865041,HIES 250600529 
2026-01-12 17:41:13.6445,975,28,1,0,0.23,-0.41,-0.23,0.41,1.05189155277916,0.782694767521663,-0.412749999389053,0.206885000038892,0.697432743874739,0.687156117312177,HIES 250600529 
2026-01-12 17:41:22.1503,975,29,1,0,0.71,0.42,-0.71,-0.42,1.05109097217817,0.782204943192145,-0.414124999381602,0.206885000038892,0.697954384502138,0.687156117312177,HIES 250600529 
2026-01-12 17:41:30.7074,975,30,1,0,0.92,0.35,-0.92,-0.35,1.05039474921794,0.781669931557089,-0.412749999389053,0.202754000015557,0.696890366009491,0.689870132605238,HIES 250600529 
2026-01-12 17:41:39.1443,975,31,1,0,0.23,0.21,-0.23,-0.21,1.04960923628152,0.781073056168765,-0.411374999396503,0.206885000038892,0.697179234743462,0.68674208466725,HIES 250600529 
2026-01-12 17:41:50.5079,976,18,1,0,0.85,0.28,-0.85,-0.28,1.04887518730457,0.780504130770427,-0.425124999321997,0.215147000085562,0.698912644993101,0.678274198490945,HIES 250600529 
2026-01-12 17:41:58.9564,976,19,1,0,1.06,0.08,-1.06,-0.08,1.0482874396628,0.779885737475133,-0.445749999210239,0.195868999976665,0.702009878605159,0.672535882238978,HIES 250600529 
2026-01-12 17:42:06.9480,976,20,1,0,-0.59,-0.34,0.59,0.34,1.04834134377569,0.779426969540512,-0.420999999344349,0.204131000023335,0.716262823229128,0.671689538020437,HIES 250600529 
2026-01-12 17:42:14.8389,976,21,1,0,0.30,-1.23,-0.30,1.23,1.04753932960655,0.780493955058248,-0.386624999530614,0.222032000124454,0.679034248494212,0.68676831413842,HIES 250600529 
2026-01-12 17:42:22.7138,976,22,1,0,0.09,-0.82,-0.09,0.82,1.04682914675782,0.780650295848894,-0.393499999493361,0.248195000272244,0.674277340990237,0.684114058993395,HIES 250600529 
2026-01-12 17:42:30.5549,976,23,1,0,-0.18,-0.54,0.18,0.54,1.0463394144379,0.780395614274015,-0.387999999523163,0.237179000210017,0.677812239872568,0.674759510309271,HIES 250600529 
2026-01-12 17:42:38.5041,976,24,1,0,0.51,-0.27,-0.51,0.27,1.04551682816486,0.779885949417538,-0.398999999463558,0.227540000155568,0.675174001691231,0.670784180480859,HIES 250600529 
2026-01-12 17:42:46.9884,976,25,1,0,1.12,-0.41,-1.12,0.41,1.04500280466524,0.779485201965532,-0.407249999418855,0.208262000046671,0.681445335274628,0.651226382640684,HIES 250600529 
2026-01-12 17:42:54.9571,976,26,1,0,-1.01,0.28,1.01,-0.28,1.04585150255391,0.778927425051964,-0.390749999508262,0.198622999992222,0.705073396613796,0.654834087433987,HIES 250600529 
2026-01-12 17:43:03.4773,976,27,1,0,1.88,-0.06,-1.88,0.06,1.0464914417446,0.778330781808566,-0.379749999567867,0.219278000108898,0.676879970921547,0.633575645326638,HIES 250600529 
2026-01-12 17:43:11.4724,976,28,1,0,0.09,-0.41,-0.09,0.41,1.0457883941219,0.777933056709011,-0.398999999463558,0.216524000093341,0.654413331052242,0.63245536905227,HIES 250600529 
2026-01-12 17:43:19.8799,976,29,1,0,0.23,0.42,-0.23,-0.42,1.04502051194602,0.777462173851283,-0.386624999530614,0.213770000077784,0.65161219181622,0.634914978524101,HIES 250600529 
2026-01-12 17:43:27.8326,976,30,1,0,0.03,0.56,-0.03,-0.56,1.04436396181008,0.777112470108272,-0.381124999560416,0.197245999984443,0.653478058925583,0.643953284383927,HIES 250600529 
2026-01-12 17:43:36.2721,976,31,1,0,0.51,0.49,-0.51,-0.49,1.04355189826511,0.776698130791629,-0.387999999523163,0.180721999891102,0.652949841396433,0.650702078527154,HIES 250600529 
2026-01-12 17:43:47.1006,977,18,1,0,-0.73,-0.48,0.73,0.48,1.04383948885933,0.776373723887204,-0.37149999961257,0.176590999867767,0.670368551716012,0.648157575065832,HIES 250600529 
